tweet,happy_score,angry_score,surprise_score,sad_score,fear_score
typical derbyshire : police break up 'massive' karaoke party during uk lockdown,0.0,0.0,1.0,0.0,0.0
world health organization report coronavirusus coronalockdown coronakodhona coronauk coronavirusupdate coronainitaly coronainusa usacovid19 spaincoronavirus uklockdown indiafightscornona,0.0,0.0,0.0,0.0,0.0
a little balm for the soul hopefully 🙏☮️🎶 my new spotify playlist - lockdown tunes vol 1 🎧—&gt; lockdowntunes lockdownsongs uklockdown weekendvibes irelandlockdown uslockdown staysafe staysafestayathome,0.0,0.0,1.0,0.0,0.0
borisjohnson and the ukgoverment is furious with china covid_19 coronavirus covid19 coronavirususa london australia canada india coronacrisisuk uklockdown spain italy turkey covid2019 usa coronaalert coronaupdate chinesevirus delhi,0.0,1.0,0.0,0.0,0.0
morning family ride coronavirus uklockdown covid19 dailyexercise @ bristol united kingdom,0.0,0.0,1.0,0.0,0.0
how about the ventilators how many have we got so far covid_19 uklockdown,0.0,0.0,0.0,0.0,1.0
bbc news - coronavirus: uk broadband data caps removed during pandemic coronavirusuk uklockdown,0.0,0.0,0.0,0.0,0.0
start of uklockdown i’m going to learn italian write a thriller and get my 10k time down to 40 minutes one week later sitting on the sofa in my boxers eating crisps and watching repeats of banged up abroad on pick tv,0.0,0.0,0.33,0.0,0.67
this photo basically sums up the uklockdown for me minus the gf 👀 quarantine isolation covıd19 corona musician musicproducer synthesizer apple nativeinstruments yamaha,0.0,0.0,0.0,0.33,0.67
also i will be sleeping on the floor as my sister has taken over my room praying for a quick three weeks ” stayhomesavelives familytime grandparents uklockdown lockdownuk,0.0,0.2,0.4,0.0,0.4
is he not the same guy who was so ignorant at 1st and saying he goes around shaking hands with everyone covid_19 coronavirusoutbreak uklockdown borisjohnson,0.0,0.0,0.5,0.0,0.5
excellent news: coronavirusuk test kit be made available on amazing amazon &amp; high st in uk within days -15 minutes test london pakistan ireland scotland islamabad lahore turkey dubai nhsheroes nhsthankyou usa india iran uklockdown,0.4,0.0,0.2,0.2,0.2
permitted daily exercise is an essential counterbalance for the copious amounts of red wine i’m drinking at the moment keepsmiling uklockdown,0.0,0.33,0.0,0.33,0.33
what do you mean closed borders airports are still open people still go to work in germany too according to official reports uk lockdown is stronger than germany:,0.25,0.0,0.0,0.0,0.75
uk lockdown day 3 | got a question ask away discord bitbot,0.25,0.25,0.0,0.0,0.5
uk lockdown legislation has now come into effect details below -,0.0,0.0,1.0,0.0,0.0
at the current rate (about 9000 tests per day) it will take about 21 years to test the population of the uk let that sink in how are we not on top of this testing by now coronavirus uklockdown cornoravirusuk covid19,0.2,0.0,0.2,0.4,0.2
coronavirus: stark before and after pictures show impact of uk lockdown via @ 😥🤕🤕🤕🏛🏛,0.0,1.0,0.0,0.0,0.0
hey you what you doing wanna see something fun click the link and watch how i transform myself into miss wendy moon dragqueen drag vulcanandvixen uklockdown uk,0.2,0.0,0.4,0.4,0.0
"business secretary: workers ""are delivering for our nation through this difficult time "" medical director of nhs england: ""really *really* lockdown stay at home"" coronalockdownuk coronaupdate uklockdown 🤔",0.0,0.17,0.5,0.17,0.17
jess is baking for our nhs heroes 💙 amazing work 👏🏻 nhsheroes warwick warwickshire baking coronavirus uklockdown,0.0,0.0,0.5,0.0,0.5
just put on perfume for work drinks on zoom what is happening why are all my tweets zoom based why is my life zoom based uklockdown,0.0,0.0,0.0,0.6,0.4
husband's dug out his n64 cos he's going to restart goldeneye from the beginning with no cheats i've just written an overly-emotional poem and am thinking about painting my nails we have regressed about 20 years uklockdown,0.0,0.0,0.67,0.0,0.33
a doctor speaks out covid_19 borisjohnson borisjohnsoncoronavirus uklockdown coronaupdate,0.0,0.0,0.0,0.0,1.0
i'm looking for alternative uses for this thing which i have lying around in my house suggestions please calendar diary 2020inoneword thelockdown covid19 ideas uklockdown,0.0,0.0,0.5,0.5,0.0
stay at home or the fever might hit your street too isolationlife stayhomesavelives uklockdown,0.0,0.6,0.0,0.4,0.0
i think i’m about 2/3 days away from resorting to this uklockdown,0.33,0.33,0.33,0.0,0.0
perhaps you would have preferred them to broadcast from the confines of ev suits coronavirus uklockdown,0.5,0.0,0.0,0.0,0.5
'closed borders no shops been there done that' uklockdown covid19uk covid19 cee centraleurope,0.0,0.0,0.0,0.0,0.0
"uk should prepare for ""significant period"" of lockdown measures says minister 🚨😷🧑‍🔬 updates lockdown sideeffectsofquarantinelife covid_19 coronaupdate coronalockdown coronavirusoutbreak stayathomeandstaysafe sundaythoughts sundaymotivation uklockdown quarantine",0.5,0.0,0.5,0.0,0.0
yesterday i spent my afternoon /evening painting this was based on a sketch i drew a couple of weeks back pretty happy with it good lockdown activity ✒️❤️🎨 paintingcats stayhome uklockdown,0.6,0.0,0.0,0.2,0.2
just let a homeless guy come in and smoke his crack for a couple of hours (he offered a crumb i declined) too many police around for him please think of the vulnerable uk lockdown,0.0,0.17,0.17,0.5,0.17
as the isolation continues the kids find a novel way of catching some rays lol ☀️ 👶🏼 👼 uklockdown niece nephew niecelove nephewlove isolation authorsofinstagram writersofinstagram family,0.2,0.0,0.2,0.4,0.2
been working all year on this how much use is a brand new blogsite about racing without racing uklockdown stayhome coronavirus keepsmiling horseracing britishchampionsseries tips freetips grouponewinners timewasted,0.0,0.0,0.0,0.4,0.6
my next door neighbour (terraced houses) is blatantly flaunting lockdown they have visitors several times a day including parents with kids should i phone their rental company any advice coronavirus uklockdown lockdownuk,0.67,0.0,0.0,0.0,0.33
it’s been almost a full week of uklockdown quarantinecats,0.0,0.0,0.0,0.0,0.0
salute to our nhs 👏 and those on the front line for their bravery in putting the public 1st in this epidemic ❤️ a thank you is just not enough so stay home &amp; help the nhs work tirelessly to save our lives covid2019 stayhomesavelives uklockdown coronavirus nhsvolunteers,0.0,0.12,0.12,0.25,0.5
stay inside like it or not😂😂 prilaga uklockdown makeupartistsworldwide usa coronalockdown coronaviruspandemic indialockdown prilaga used coronavirus coronavirusmemes😂😂😂 coronavírus pandemic us usa🇺🇸…,0.0,1.0,0.0,0.0,0.0
things i’ve made during the uklockdown that i’m proud of: 1 cottage pie 1 spicy sausage spaghetti 1 chilli con carne 12 nutella muffins 12 chic chip &amp; smarties muffins 1 victoria sponge and 6 cheese &amp; marmite scones 👩🏻‍🍳🍝🍪🍰 let’s celebrate the small positives ❤️,0.2,0.0,0.2,0.6,0.0
have a go at shooting the night sky from your garden during the uklockdown covid19 start by watching my moon photography tutorial right here,0.0,0.0,0.5,0.0,0.5
defying uk lockdown will cost you £60 fine the first time (reduced to £30 if you pay within 14 days) second offence is mandatory £970 fine,0.6,0.0,0.4,0.0,0.0
uklockdown day: 4 (think i’m going to regret starting this),0.25,0.0,0.5,0.0,0.25
uklockdown beerofthemoment is a very tasty west coast ipa from delivered by goes very well with some cheese suspect their new “truffle cheese” snacks will be awesome - hurry up and ship them 🤪,0.0,0.0,0.33,0.0,0.67
workfromhome does not mean you need to keep working as long as you are home you can switch off thelockdown uklockdown,0.0,0.0,0.0,0.5,0.5
let me take you for a walk in york - uk lockdown day 3 - daily exercise lockdown covid19,0.33,0.0,0.0,0.67,0.0
us deaths trending similar to italy if the trend continues expect the us to exceed 10k deaths in about 10 days uk and france on slightly lower trend coronavirusupdate covid covid19 covidー19 francecoronavirus uklockdown,0.5,0.0,0.0,0.0,0.5
so when does this uk lockdown end what its only been a few days thought i'd be able to do this don't go outside much anyway but given recent events being stuck inside my house is probably the worst thing possible,0.14,0.0,0.29,0.14,0.43
blackamerica ☝️🤨globalists win their war against us if we let them manipulate us w/fear impo interview w/david 👁cke go to 1 hour 6 mins maga maga45 maga2020 maga2020landslide globalism covid19 coronavirus uklockdown,0.0,0.0,0.0,1.0,0.0
the uk logistics industry is urging the uk government to extend the current brexit transition period to allow companies to deal with the coronavirus uklockdown logisticsindustry,0.33,0.33,0.0,0.0,0.33
day2 of uklockdown difficult to work when even with all your windows shut your neighbours kid has to scream in the backgarden don't even want her to stop enjoying herself but please stop screaming so i can work,0.33,0.17,0.0,0.17,0.33
6 legally blonde – so not the romcom you might have it billed as pink princess elle woods goes to harvard law school to win back her ex-boyfriend but instead learns the power of self-worth and hard work reese witherspoon exudes sunshine in this smart comedy uklockdown,0.0,0.38,0.12,0.0,0.5
coronalockdown uklockdown songoftheday is dontstandsoclosetome by the police,0.0,0.0,0.0,0.0,0.0
it is definitely reassuring to know that no matter the country someone vulnerable will always be left out freelancers (like me) seem to be perpetually forgotten uklockdown,0.0,0.17,0.0,0.5,0.33
well that's working well for those old folk that can't get cash &amp; nobody calls coronavirus southwark and stores are empty everyone is sick &amp; could infect uklockdown this is barely 3-4 day in authorities are mia and awol notclappingnow,0.2,0.0,0.0,0.4,0.4
running by mc london // “i’m running in the park avoiding people on the grass on the mud everyone knows why everyone is thinking about it but it’s sad the dogs don’t know they’re still wagging their tails ” littlestories stayathomeandstaysafe lockdown uklockdown,0.0,0.0,0.33,0.33,0.33
uklockdown ‘likely to last six months’ says england’s deputy chief medical officer while the chief medical officer is in quarantine with symptoms of the virus covid_19,0.0,0.0,0.5,0.0,0.5
uk lockdown: tourist hotspots deserted due to coronavirus - youtube,0.0,0.0,0.0,0.0,0.0
do you know in south korea it has killed only 100 people and they don’t have a lockdown japan &amp; sweden nothing like the uk lockdown either and they don’t have deaths like in northern italy the death rate has been greatly exaggerated why,0.2,0.0,0.2,0.0,0.6
nearly asked one of my friends what they was up to rn during the uklockdown thats the equivalent of saying “thanks you too” to someone after they wished you a happy birthday,0.5,0.0,0.25,0.0,0.25
uk lockdown until june i’m ready to end it all,1.0,0.0,0.0,0.0,0.0
according to your article the uk was locked down because ferguson's model and analysis was wrong (predicted deaths down from 500 000 to 20 000) the revised figure is less than annual deaths due to 'flu in recent years should the lockdown be lifted uklockdown,0.0,0.0,0.0,0.2,0.8
coronavirus: uk health minister nadine dorries tests positive - uklockdown coronavirusinpakistan nadinedorries,0.0,0.0,0.0,0.0,0.0
so cancelled my daughter's flight home leaving her stranded in the us when she called they promised to refund her ticket so we spent $960 to get her and her bf home before the uk lockdown flights they refunded just her ticket one way $211 what the actual fuck,0.25,0.0,0.0,0.75,0.0
coronavirus uk lockdown causes big drop in airpollution london,0.0,0.0,0.0,0.0,0.0
abeg for those of us that will survive this coronavirus pandemic the first 15 houses in ikoyi plus tinubu’s house are mine i don’t want confusion pls uklockdown,0.0,0.0,0.5,0.0,0.5
yep - all in the imperial report well worth a read in short - not sure whether uk lockdown is tight enough to get rt below 1 and therefore stop the spread will slow doubling but will it stop it interesting to contrast with italy,0.17,0.17,0.0,0.0,0.67
as promised lockdown clip 1 of me growing organic chamomile 😊for our windy hollow herbal infusion 🌿hope you are all well and staying safe 🌱covid2019 tisane staysafe chamomile mywork perthshire scotland tea organic uklockdown,0.0,0.5,0.0,0.5,0.0
chart fact: you'll never walk alone is officially the fastest-growing classic song on streaming services during uk lockdown so far see the full official lockdown listening top 100 list &gt;&gt;&gt; ynwa,0.0,0.0,0.33,0.33,0.33
the british prime minister boris johnson has tested positive for covid-19 johnson said he recently developed mild symptoms and is currently self isolating covid19 borisjohnson uklockdown,0.0,0.0,0.2,0.0,0.8
we are processing a lot of change at the moment we don’t have time to digest each shock as we have been bombarded daily with new and shocking information &amp; restrictions reading this overview might help you to process changetips uklockdown,0.0,0.29,0.43,0.14,0.14
"today's stravablanker is david cargill of letham dave i appreciate you're a ""serious"" cyclist - judging by that heroic grimace - but a friendly acknowledgement between riders at this time of uklockdown is always appreciated ridesafe",0.5,0.17,0.0,0.17,0.17
however there is hope of a post-lockdown “boom” of sorts; with the uk lockdown anticipated to lift in early june there is a brief window for early summer content that may bring in high numbers due to the relief of lockdown being lifted ( ),0.18,0.0,0.18,0.09,0.55
uk figures out 14579 +2921 where next days into uklockdown projection of last 7 days has detected the start of a sharp slowdown (lhs) like sherlock holmes look at the cases we don't have (rhs) - socialdistanacing measures are effective coronavirusuk covid19,0.5,0.25,0.0,0.25,0.0
bt technician waits at the window wearing the face that he keeps in a jar by the door who is it for all the key workers where do they all come from coronavirussongs covid19uk uklockdown liverpool,0.0,0.0,0.5,0.5,0.0
went out for a walk today and found this written on a bridge represents bodybag uklockdown,0.0,0.0,0.0,0.0,1.0
coronavirus uk lockdown causes big drop in air pollution from road traffic ⁦⁩ has to plan to get cars off roads not build busways which create more roadspace for traffic,0.0,0.0,0.0,0.0,1.0
word covid_19 covid19 coronavirus trumpisanidiot &amp; farage too uklockdown,0.0,1.0,0.0,0.0,0.0
no cleaner uklockdown stayathomesavelives saturday cleaning duties listening to this song cleaninglikeaboss who remembers this,0.0,0.0,0.0,0.0,1.0
"""coronavirus live updates: italy’s death toll climbs to 10 779 uk lockdown measures could last six months""",0.0,0.0,0.0,0.0,1.0
the frenchgate centre doncaster on a what should be a busy tuesday lunchtime 31st march 2020 uklockdown covid19,0.0,0.0,0.0,0.0,1.0
police checks here in uklockdown stayhomesavelives,0.0,0.0,0.0,0.0,0.0
so how did i spend my saturday in uklockdown you ask just binged unorthodoxnetflix and loved it coronavirus lockdown sunday ahead now,0.5,0.0,0.0,0.0,0.5
latest walkingmydogvlog during uklockdown and talking about relationships in vendormanagement contractmanagement it’s a 2 way street for sure and there is an interesting trend in it and professional services contracts that the vendors should only u…,0.25,0.0,0.0,0.25,0.5
going live now streaming warzone squads come on and join us for uk lockdown day 4 hot drops all night long stream interactive chatter callofdutywarzone coronalockdown callofduty newstreamer showsupport,0.2,0.0,0.0,0.2,0.6
day -unknown- in quarantine starting to get pretty sick of the sound of my own voice considering learning a new language to conversate with the local wildlife 🤔 stayathomeandstaysafe uklockdown,0.33,0.0,0.17,0.33,0.17
😂 🤣 😭 😂 stayathome uklockdown is this you 😂,0.0,0.0,0.0,0.0,0.0
uk lockdown day 4 mma fight: eddie alvarez vs michael chandler one of the greats mma mmatwitter coronalockdown isolationlife,0.67,0.0,0.0,0.33,0.0
"highlight of uklockdown today was propagating pilea or ""pass it on plant"" these cute plants produce ""pups"" which can be separated from the mother plants pretty easily potted and gifted on can't wait to do some plant swapping after all of this 🌱 indoorgarden urbanjungle",0.4,0.2,0.0,0.0,0.4
sir these marathi students are stranded in sheffield due to uklockdown and need urgent help as they are not able to meet the financials as they have lost their jobs please help them they are from pune,0.0,0.0,0.33,0.5,0.17
borisjohnson boris johnson tested positive for coronavirus how world eminent leaders are getting infected it seems china planned it quite well🤔 coronalockdown 21daylockdown uklockdown,0.0,0.0,0.0,1.0,0.0
another old photo due to the corona uklockdown this time imperialwarmuseum london blackandwhite photo about 1939 at the start of ww2 a barrage balloon can be seen in the photo colour photo from my trip to…,0.0,1.0,0.0,0.0,0.0
today's random cleaning has meant literally putting all our ducks into a row abumtish lockdownuk uklockdown ducks rubberducky,0.0,0.0,0.0,1.0,0.0
freebiefriday perfect may have to put tent in garden if we continue uklockdown,0.0,0.0,0.0,0.67,0.33
hi all thanks for the follows much appreciated notalone uklockdown,1.0,0.0,0.0,0.0,0.0
this week has been tough the thought of this uklockdown lasting to june feels me with dread,0.0,0.0,0.5,0.0,0.5
during the lock down a team of government mathematicians at bletchley park have been working non-stop to crack the code with their calculations they are 87 3% sure that tomorrow is sunday but we have no way of verifying this uklockdown,0.0,0.0,0.0,0.0,1.0
daily orientation for gmt zone dwellers: it is tuesday 31st march 2020 day 8 of uk lockdown - week 2 when you go out for your walk i totally recommend going on a bear hunt you could take your kids if you wanted,0.4,0.0,0.2,0.2,0.2
let me take you for a walk in york - uk lockdown day 3 - daily exercise lockdown coronavirus,0.33,0.0,0.0,0.67,0.0
the guardian: families borrowing to buy food a week into uk lockdown,0.0,0.0,1.0,0.0,0.0
best news this f1 season has brought this season coronaupdate covid_19 uklockdown coronacrisisuk ventilators,0.0,0.0,0.5,0.5,0.0
on day 2 of uk lockdown i baked pistachio and orange bars baking comforteating pistachiobars bakingwithkids healthytreats coronavirusbaking @ winchester hampshire,1.0,0.0,0.0,0.0,0.0
what we’ve learned about the coronavirus — &amp; what we still need to know by helen b bigdata usa uk who covid19 linux covid19usa covid19india covid19uk canada covid19france covid19italy italy usa indialockdown china iran uklockdown,0.0,0.0,0.0,0.0,0.0
i'm looking for celebrities that would like to feature on my facebook page either as a live video or pre recorded one reading a book doing their thing sharing family activities or anything please dm me celebrities uklockdown shoutouts,0.0,0.0,0.4,0.2,0.4
can you explain why it’s still ok to send techs into homes &amp; install virgin tv when the country is on uklockdown how is installing 5 boxes in 1 home essential you could be killing people please put a stop to this they have families too,0.0,0.0,0.29,0.57,0.14
"after only 1 week of uk lockdown - many people are baffled that is still taking advice from college professor ferguson after mr ferguson's change of heart from ""500 000"" to ""20 000"" deaths 25x reduction baffling",0.0,0.0,0.25,0.25,0.5
w2d1 uklockdown purchased this on publication today’s plan,0.0,0.0,0.0,0.0,1.0
a massive friday follow to those whose kindness helped make the first week of uklockdown bearable - + the zoom yoga crew for the arlo care package for virtual art class dates for the book a day +filmtwitter community 😍,0.2,0.0,0.6,0.2,0.0
so it shouldn’t be lost on anyone that this reckless behaviour is in the same county as the nhs family mourns the death of a senior clinician unbelievable stayathomesavelives coronavirus: police break up 'massive' karaoke party during uk lockdown,0.0,0.0,0.4,0.4,0.2
a slightly different walk this evening for our daily permitted exercise but no less interesting hoping everyone is keeping safe well &amp; obeying the rules keepsmiling stayhomesavelives uklockdown,0.33,0.0,0.0,0.33,0.33
good morning uklockdown readers looking for a new novel pm me i ll send you my exclusive unpublished one the last taboo,0.25,0.0,0.0,0.0,0.75
all parts of the uk are now on an ’emergency footing’ amid the coronavirus pandemic the government has announced uklockdown,0.0,0.0,1.0,0.0,0.0
boris johnson u k prime minister has the coronavirus coronavirusoutbreak uklockdown,0.0,0.0,0.0,0.0,1.0
please raise your tea to the thinblueline who are placing their own lives and health and risk to protect us from covid19 uklockdown is for our protection it is a matter of life and death so stayathomesavelives,0.17,0.0,0.0,0.17,0.67
bbc news - coronavirus: mystery man buys villagers fish and chips covid19 uklockdown,0.0,0.0,0.0,1.0,0.0
it’s looking increasingly unlikely we’ll see bellatorlondon happen if today’s papers reporting a more extreme uklockdown until june are anything to go by i’m guessing the contracted fighters will be paid,0.0,0.0,0.2,0.2,0.6
coronavirusuk uklockdown in new york city they have 23112 cases 44% of these are aged between 18 and 44 young people you are not immune to this thing,0.33,0.33,0.33,0.0,0.0
think it’d be sensible to watch it well statistics don’t speak for themselves but person/s compiling them full extent of social &amp; economic damage of uklockdown will be known in the future as mr hitchens &amp; lord sumption &amp; others say lockdown disproportionate to covid19 risk,0.0,0.0,0.6,0.0,0.4
i actually don’t know what’s so difficult about staying in the house and watching tv stop acting like you’re so hard done by watch some tv cook some food have a nap sit in your garden read a book and for the love of god stay the fuck at home uklockdown stayhomesavelives,0.18,0.27,0.36,0.09,0.09
day 4 of uklockdown: yet another couch view shot this time it’s old school glee and look who i saw pop up: barry from bigbang 😃 it’s like finding a fiver in your pocket daybrightener…,1.0,0.0,0.0,0.0,0.0
day 12 wfh - the problem of wearing a mask with glasses while running - as tina turner might say 'steamy windows' 👓😂 - workingfromhome wfh remoteworking remotework remoteworker coronavirus socialdistancing exercise lockdown uklockdown selfisolation,0.17,0.17,0.17,0.33,0.17
uk lockdown day 5 - i think everyone is starting to take the lockdown seriously first time going out for a walk and not see a single vehicle another plus side i didn’t even see a single person as…,0.25,0.0,0.5,0.0,0.25
dear it's my lovely mum's 69th birthday tomorrow and obviously i can't be with her she's a big fan of yours and i think a message from you would make her day if you have a minute to say happy birthday to pam i'd be grateful thank you ❤ stacey uklockdown,0.4,0.0,0.4,0.1,0.1
rewatching endgame hearing nat go “see you in a minute” knowing full well she doesnt make it back hurts my heart sooooooo much covid19uk uklockdown,0.0,0.0,0.0,1.0,0.0
as i said the other day the loan sharks will be smelling blood we need better way of getting food and emergency grants/ interest free loans to people who need money families borrowing to buy food a week into uk lockdown,0.38,0.0,0.5,0.0,0.12
when the fuck is carmen sandiego this must be like day 27 of uk lockdown or summat yeah,1.0,0.0,0.0,0.0,0.0
uk n us think of themselves d most developed n outstanding nations but they proved to b d most stupid ones uk's pm n health minister r positive n us has topped d no of cases worldwide uklockdown us borisjohnson trumpliesamericansdie trumpvirus chinesevirus,0.17,0.0,0.33,0.0,0.5
from day 5 of the uk lockdown – the coronavirus song 🎶 covid19,1.0,0.0,0.0,0.0,0.0
day three i am already debating the wisdom of posting a tweet every day uklockdown,0.67,0.0,0.0,0.0,0.33
interesting covid19 uklockdown covid19uk,1.0,0.0,0.0,0.0,0.0
moved into my parents house until i get better/ uk lockdown is over greatful they will be able to help me while sick with my toddler here is our little room,0.0,0.0,0.25,0.25,0.5
karma is a huuuuuuge bitch covid2019 uklockdown,0.0,0.0,0.0,0.0,0.0
uk lockdown extended till june covid_19,0.0,0.0,0.0,0.0,0.0
tornadoes c is having serious netball withdrawal symptoms but she is keeping busy using her crazy catch👌🏐🖤❤️ thisgirlcan blackandred lovenetball quarantinelife uklockdown stayhomesavelives stayhome,0.0,0.0,0.25,0.0,0.75
when we are all going through all this not easy time vodafone decided to put prices up asap 🤦🏼‍♀️ covid2019 bbcyourquestions bbc uklockdown,0.0,0.0,0.0,0.33,0.67
“the world health organization recommends the sort of full-body armour you’d want to attend dinner at michael gove’s; current government largesse allows for a kiss the cook apron and a cardboard simon cowell mask ” 🤣 covid19 uklockdown,0.0,0.0,0.0,1.0,0.0
91 / 366days leapyear truro uk lockdown what do we miss wemissthis more here &gt; yearofcathedrals yearofpilgrimage,0.0,0.0,0.0,1.0,0.0
condolences to keirun for not being able to leave his house to go play persona 5 royal because of the uk lockdown,0.0,0.0,0.0,0.0,1.0
uk lockdown rules - what you can and cannot do in self-isolation march 19 the public health england declared covid-19 no longer a high consequence infectious disease 17000 have already died of the flu in uk those who die with c19 had 1-3 complications,0.0,0.0,0.0,0.0,1.0
we currently live in a country of empty places emptyplaces uklockdown,0.0,0.0,0.0,0.0,1.0
not having clear instructions given early has really harmed the uk we were left with people not knowing what to do and panicking in such unheard-of and exceptional circumstances hopefully we are getting the grip and reality of it now stay safe everyone uklockdown covid_19,0.0,0.14,0.14,0.43,0.29
neges gan y doctor message from the doctor uklockdown awtistiaeth autism doctorwho cymru wales arhoswchadref stayhomesavelives,0.0,0.0,0.0,0.0,0.0
throughout the uk lockdown we will be providing free daily webinars on a variety of technical analysis and trading subjects episode 17 - basic demark lockdown uk technicalanalysis learnsomething trading,0.25,0.0,0.0,0.5,0.25
we are on booking uzkhu2 to boston due to uk lockdown 2 of our party members can’t leave house for 12 weeks due to increased medical risks of covid-19 your online chat does not work and will not assist with these circumstances please help,0.0,0.0,0.33,0.33,0.33
why is the uk struggling to do 20 000/25 000 tests a day when germany is soon to be on 200 000 tests a day 😡 we are a joke and it's costing lives germany uk uklockdown covid19 borisjohnson gmtv piersmorgan coronavirustruth,0.75,0.0,0.25,0.0,0.0
from a friend’s instagram post i second that emotion 👏👏 uklockdown,0.5,0.0,0.0,0.5,0.0
rise in depression and anxiety day after uk lockdown announced – study mentalhealthmatters itsoknottobeok,0.5,0.0,0.0,0.5,0.0
your timing couldn´t be better this shows that you simply don´t give a fck about your clients and the situation we are going through i´ve been your client for 13 years you can be sure that after covid is gone i´m jumping to another provider covid19uk uklockdown,0.0,0.0,0.29,0.0,0.71
please visit and select your language to proceed japan 🇯 🇵🇯🇵 malaysia 🇲 🇾 🇲🇾 macedonia 🇲 🇰 🇲🇰 malta 🇲 🇹 🇲🇹 theultimateremedy tuesdaythoughts japan malta macedonia malaysialockdown balkans usa uklockdown covid coronavirusoutbreak,0.0,0.0,0.5,0.5,0.0
when drake says life is good but the worlds on lockdown corona coronavirus coronamemes life uk lockdown quarantine,0.25,0.0,0.25,0.0,0.5
designer surgical masks maybe if you’re thinking about buying a 3-figure mask consider who that money could help instead uklockdown covid2-19 coronavirus,0.0,0.0,0.33,0.5,0.17
we are on day 11 of selfisolation are you planning to distinguish your weekend or are the days all rolling into one fridayfeeling uklockdown friyay soclosetotheweekend,1.0,0.0,0.0,0.0,0.0
we’re lucky to have the technology we carry in our pockets lovedones uklockdown socialdistancing 3bmeplemonade covid19 coronavirus keepcalmandcarryon,1.0,0.0,0.0,0.0,0.0
world needs to boycottchina spainlockdown australialockdown indiafightcorona irancoronavirus covid_19 covid19aus covidー19uk uklockdown,0.0,0.0,0.0,0.0,0.0
podcast: arena league and lockdown - mount kelly director of swimming emma collings-barnes joins the podcast to discuss their arena league victory and how they are dealing with the uk lockdown,0.0,0.0,1.0,0.0,0.0
of a strong rational compassionate leader oh and those idiots are standing too close together covid19 uklockdown,0.75,0.0,0.0,0.0,0.25
they say £50 000k per year as if it’s the norm i can only dream of earning that hopefully covid2019 will show up what’s wrong with the uk pay system and tax system coronalockdown ukgoverment ukcoronavirus uklockdown,0.0,0.0,0.33,0.0,0.67
new blog post coronavirus uklockdown kidsathome isolationlife mummydiaries,0.0,0.0,0.0,0.0,0.0
day 14 - a very chilly 3 5km run around hartham common to keep the exercise levels up sleeting as i was running 🏃❄️❄️❄️ - workingfromhome wfh remoteworking selfisolation uklockdown lockdown quarantine exercise fitness running,0.2,0.0,0.0,0.4,0.4
a little whisper of good news when you go out on your once a day exercise break you can safely take a long deep breath of fresh air 💐 coronavirus uk lockdown causes big drop in air pollution,0.25,0.0,0.25,0.12,0.38
reporting uk pm boris johnson tests positive for coronavirus johnson has mild symptoms and will self isolate; will still be in charge of uk govt handling of crisis coronavirus uklockdown ukcoronavirus ukgoverment covid19,0.25,0.0,0.0,0.0,0.75
uk lockdown day 5: there is not enough quality true crime content on netflix to sustain me,0.25,0.0,0.25,0.25,0.25
map one air pollution today map two air pollution one month ago due to covid19 lockdown uklockdown scotland freshair once this is over the fresh air we're experiencing now is what we must strive for the future,0.0,0.0,0.0,0.0,1.0
2020-03-27 empty no2 motherwell uklockdown,0.0,0.0,0.0,0.0,0.0
leicester doing a banging job 😤🦊 uklockdown covid19uk,0.0,0.0,0.0,0.0,1.0
sunday night top 50 biggest songs of the 90s what a way to spend the uklockdown,0.0,0.0,1.0,0.0,0.0
what will be longer uklockdown or a stewartlee joke,1.0,0.0,0.0,0.0,0.0
so endeth day three of uklockdown during which i and the husband enjoyed a government-permitted walk in the sunshine caught some pokemon and bought some fruit juice for the vitamins removed one bag of rubbish from the 'dining room of hoarding',0.67,0.0,0.0,0.0,0.33
treat somebody to a cosy pamper night in this thoughtful gift hamper is full of pampering goodness and makes a great gift especially for these chilly nights gift gifthamper giftideas uklockdown ukgifthour ukgiftam,0.2,0.0,0.2,0.4,0.2
covid19 and poverty families borrowing to buy food a week into uk lockdown,0.0,0.0,1.0,0.0,0.0
dig deep in the hard time and enjoy the good times pass it on being positive is contagious in a good way drop a heart and pass on to someone who needs it positivevibes positivethinking positiveenergy uklockdown workingfromhomelife togetherwecan,0.6,0.2,0.0,0.2,0.0
people shouldn't be fishing during the uk lockdown | nofishing,0.0,0.0,0.0,0.0,0.0
british problems earthhour2020 coronaupdate stayathome stayathomeandstaysafe rickandmorty covid_19 uklockdown ukcoronavirus uk,0.0,0.0,0.0,0.0,1.0
when it feels weird not to be setting up your temporary work station at home as actually it's the weekend 😂 uklockdown workingfromhome whatdayisit,0.0,0.0,0.2,0.2,0.6
day8 mvouchercodes uklockdown yes please 🤞,0.0,0.0,0.0,1.0,0.0
if the death rate figures from the below graph are correct we'll have far fewer deaths than first predicted with the next ten days a crucial period leading up to easter don't become complacent stay safe stay indoors stayhomesavelives uklockdown covid19,0.2,0.2,0.2,0.0,0.4
hope uk can overcome the covid2019 🙏🙏 chinesevirus uklockdown,0.0,0.0,0.0,0.5,0.5
“one million home testing kits for coronavirus could be sent out across the uk in a matter of weeks according to public health officials public health england (phe) appeared to provide hope that the uk lockdown could be scaled back after announcing …”,0.0,0.0,0.17,0.33,0.5
